experiment_id,condition,n,mean_kill_rate,sd_kill_rate,mean_survival,sd_survival,mean_kills,mean_damage,mean_ammo_eff,mean_latency_p99
DOE-021_gen2,gen2_G06_x14,30,41.72497540447092,5.7936062740483845,17.20190476190476,4.983253776714902,11.933333333333334,1193.3333333333333,0.0,0.0014737000000000005
DOE-021_gen2,gen2_G07_x34,30,39.60337894713768,7.657314198046772,19.04380952380952,6.19032289819046,12.366666666666667,1236.6666666666667,0.0,0.004036100000000001
DOE-021_gen2,gen2_G08_mut2,30,42.06519233014186,6.349186792874447,18.74666666666667,6.017603701182091,13.2,1320.0,0.0,0.0012626000000000004
DOE-021_gen2,gen2_G09_mut3,30,43.82844935133802,5.812199260473233,19.570476190476192,5.065424091740131,14.3,1430.0,0.0,0.004105666666666668
DOE-021_gen2,gen2_G10_random,30,42.65723390139763,5.29748905216905,18.945714285714285,5.388012079897142,13.366666666666667,1336.6666666666667,0.0,0.0019207666666666674
DOE-022,L0_L1,30,45.20061723557543,4.60649612048221,19.702857142857145,5.194142752209526,14.733333333333333,1473.3333333333333,0.0,0.0012083666666666672
DOE-022,L0_L1_L2_good,30,39.770386549798104,4.788826085723092,14.633333333333335,4.038778135706741,9.566666666666666,956.6666666666666,0.0,6.250290299999999
DOE-022,L0_L1_L2_random,30,39.770386549798104,4.788826085723092,14.633333333333335,4.038778135706741,9.566666666666666,956.6666666666666,0.0,0.7004721666666668
DOE-022,L0_only,30,37.03234892241254,4.883847858010545,14.998095238095239,4.031536018044494,9.133333333333333,913.3333333333334,0.0,0.00035293333333333336
DOE-023,skill_easy_L0_only,30,35.39707170388327,2.577852036426355,26.630476190476195,5.6673537412391015,15.633333333333333,1563.3333333333333,0.0,0.0003277
DOE-023,skill_easy_adaptive_kill,30,40.11704909653288,5.053947517883946,34.643809523809516,9.411471980103737,22.933333333333334,2293.3333333333335,0.0,0.0011736666666666668
DOE-023,skill_easy_burst_3,30,37.28282402084584,6.129886026694878,32.05714285714285,9.13076478656713,19.733333333333334,1973.3333333333333,0.0,0.0009667333333333338
DOE-023,skill_easy_random,30,36.86108240529151,4.5809022331706135,33.2152380952381,10.389931068345593,20.466666666666665,2046.6666666666667,0.0,0.0010292000000000003
DOE-023,skill_nightmare_L0_only,30,55.298383918998326,6.555267270044746,3.8714285714285714,0.6187658825860538,3.566666666666667,356.6666666666667,0.0,0.0003182666666666667
DOE-023,skill_nightmare_adaptive_kill,30,59.776372850292454,8.422662614899023,3.8828571428571435,0.5255659460881611,3.8666666666666667,386.6666666666667,0.0,0.0011875666666666671
DOE-023,skill_nightmare_burst_3,30,64.31575843722047,10.388600335926792,4.439047619047619,1.099714845857929,4.766666666666667,476.6666666666667,0.0,0.001191833333333334
DOE-023,skill_nightmare_random,30,63.43628176888644,12.34820553470421,4.648571428571429,1.3177540443204916,4.966666666666667,496.6666666666667,0.0,0.0013945666666666675
DOE-023,skill_normal_L0_only,30,39.20477062434857,4.59061231336403,14.840952380952382,3.7919035442449758,9.566666666666666,956.6666666666666,0.0,0.0003391
DOE-023,skill_normal_adaptive_kill,30,46.05838914662229,5.368797599981781,17.610476190476195,6.35064308593807,13.433333333333334,1343.3333333333333,0.0,0.001049966666666667
DOE-023,skill_normal_burst_3,30,41.031609928546445,6.351338467176474,17.836190476190477,5.6824380160490735,12.166666666666666,1216.6666666666667,0.0,0.0009625666666666673
DOE-023,skill_normal_random,30,44.02331700207562,6.313760090236404,19.072380952380957,5.772792763385704,13.733333333333333,1373.3333333333333,0.0,0.0010500000000000002
DOE-024,skill_easy_L2_meta_select,30,41.79397604197123,3.8390122181186084,34.61523809523809,7.722053135090357,24.0,2400.0,0.0,0.40439716666666664
DOE-024,skill_easy_fixed_adaptive_kill,30,41.20180636265695,3.907117547938182,34.39714285714285,9.978011998098683,23.4,2340.0,0.0,0.0010138666666666672
DOE-024,skill_easy_fixed_burst3,30,39.342926322985804,5.891467607290885,33.68,7.154954878288529,22.0,2200.0,0.0,0.0008972333333333338
DOE-024,skill_easy_random_select,30,38.32412056098115,4.626011158087667,34.36000000000001,7.419583801404643,21.833333333333332,2183.3333333333335,0.0,0.001699900000000001
DOE-024,skill_nightmare_L2_meta_select,30,60.59568061070037,9.579195455056823,4.640952380952382,1.0910597817432166,4.7,470.0,0.0,0.4646194333333333
DOE-024,skill_nightmare_fixed_adaptive_kill,30,60.8926401330642,9.968073291032756,4.084761904761905,0.6461266974247617,4.133333333333334,413.3333333333333,0.0,0.0012583000000000006
DOE-024,skill_nightmare_fixed_burst3,30,64.20135434945105,9.85279376434526,4.744761904761905,1.2353446773949759,5.066666666666666,506.6666666666667,0.0,0.0010362000000000004
DOE-024,skill_nightmare_random_select,30,64.34679665099969,11.43313845096395,4.397142857142856,0.942822808749396,4.7,470.0,0.0,0.0017847333333333342
DOE-024,skill_normal_L2_meta_select,30,47.33198733663768,5.656820291342486,18.102857142857143,5.557370669156262,14.066666666666666,1406.6666666666667,0.0,0.43187640000000005
DOE-024,skill_normal_fixed_adaptive_kill,30,46.83907943086818,6.159881127745196,17.76666666666667,6.250663957226414,13.6,1360.0,0.0,0.0010472333333333337
DOE-024,skill_normal_fixed_burst3,30,44.51043641666187,7.0519583567278605,18.74095238095238,5.067010124536767,13.733333333333333,1373.3333333333333,0.0,0.0009694666666666672
DOE-024,skill_normal_random_select,30,41.865184293002045,5.3969382097614425,19.143809523809523,4.508972887489709,13.266666666666667,1326.6666666666667,0.0,0.0017999333333333341
DOE-025,adaptive_5,30,42.842821841922934,5.948270811894349,22.016190476190477,7.692487660609696,15.533333333333333,1553.3333333333333,0.0,0.0012639666666666674
DOE-025,dodge_burst_3,30,39.54151765829124,3.8417970131807015,26.749523809523815,9.337677066355583,17.433333333333334,1743.3333333333333,0.0,0.0009666333333333336
DOE-025,random_5,30,41.69544295445386,5.834539376919447,26.34952380952381,9.237069043946605,18.133333333333333,1813.3333333333333,0.0,0.001008266666666667
DOE-025,smart_5,30,39.55137250457681,5.913041676094895,21.253333333333334,7.738374116485331,13.733333333333333,1373.3333333333333,0.0,0.0010000333333333336
DOE-025,strafe_burst_3,30,41.56569698550586,5.5371859386820965,24.87904761904762,5.935637350586909,17.066666666666666,1706.6666666666667,0.0,0.0009931333333333338
DOE-025,survival_burst,30,39.239375522633615,4.738290658007741,30.100952380952382,10.790567813673968,19.633333333333333,1963.3333333333333,0.0,0.0010223000000000005
DOE-026,dodge_burst_3,30,37.01599860722951,4.587141423776114,27.985714285714288,8.339393808436474,17.233333333333334,1723.3333333333333,0.0,0.001000066666666667
DOE-026,l2_meta_5action,30,37.55819148790987,4.641221914970989,26.893333333333327,8.376932682842984,16.566666666666666,1656.6666666666667,0.0,0.44570413333333325
DOE-026,random_5,30,40.49994200932735,5.082500330323943,25.583809523809517,6.842672265603498,17.4,1740.0,0.0,0.0010972333333333338
DOE-026,random_rotation_5,30,39.33018897977786,4.996472353521786,27.014285714285723,5.996704466758948,17.566666666666666,1756.6666666666667,0.0,0.002374966666666667
DOE-026,survival_burst,30,39.4793236684939,4.95025173103856,26.174285714285716,7.264169245037515,16.966666666666665,1696.6666666666667,0.0,0.0009862666666666671
DOE-027,ar_20,30,36.47435737564975,5.117418986850653,26.22095238095238,9.235180214849663,16.0,1600.0,0.0,0.001040366666666667
